category,ms_rule_id,rule_id,status,is_ignoreable,description,notes
Design,SR0008,SRD0007,Done,No,Use SCOPE_IDENITY instead of @@IDENITY,The rule checks for use of @@IDENTITY server variable. It is recommended to use SCOPE_IDENTITY() instead. @@IDENTITY is not limited to a specific scope and is not a reliable indicator of the most recent user-created identity.
Design,SR0010,SRD0008,Done,No,Avoid using deprecated syntax for joins,"This rule checks for the use of non-ANSI join syntax. It is recommended to use the more readable ANSI-Standard JOIN clauses instead of the old style joins. The WHERE clause is used only for filtering data with the ANSI joins, but with older style joins, the WHERE clause handles both the join condition and filtering data."
Design,,SRD0009,Done,No,Wrap multiple action statements within a transaction,Not wrapping multiple action statements in a transaction inside a stored procedure can lead to malformed data if only some of the queries succeed.
Design,,SRD0010,Done,No,Start identity columns used in a primary key with a seed of 1000,
Design,,SRD0011,Done,No,Equality and inequality comparisons involving a NULL constant found. Use IS NULL or IS NOT NULL.,"This rule scans stored procedures, views, functions and triggers to flag use of equality and inequality comparisons involving a NULL constant. These comparisons are undefined when ANSI_NULLS option is set to ON. It is recommended to set ANSI_NULLS to ON and use the IS keyword to compare against NULL constants. Care must be taken when comparing null values. The behavior of the comparison depends on the setting of the SET ANSI_NULLS option. When SET ANSI_NULLS is ON, a comparison in which one or more of the expressions is NULL does not yield either TRUE or FALSE; it yields UNKNOWN. This is because a value that is unknown cannot be compared logically against any other value. This occurs if either an expression is compared to the literal NULL, or if two expressions are compared and one of them evaluates to NULL."
Design,,SRD0012,Done,Yes,Variable declared but never referenced or assigned.,
Design,,SRD0013,Done,No,Wrap TRY..CATCH  around multiple data manipulation statements.,"The rule checks for SELECT INTO,INSERT,DELETE and UPDATE statements which are neither inside TRY..CATCH block. This check is important, because, by default, SQL Server will not rollback all the previous changes within a transaction if a particular statement fails and setting XACT_ABORT is not ON."
Design,,SRD0014,Done,No,TOP clause used in a query without an ORDER BY clause.,"This rule checks for usages of TOP in queries without an ORDER BY clause. It is generally recommended to specify sort criteria when using TOP clause. Otherwise, the results produced will be plan dependent and may lead to undesired behavior."
Design,,SRD0015,Done,No,Always use a column list in INSERT statements.,"When inserting into a table or view, it is recommended that the target column list be explicitly specified. This results in more maintainable code and helps in avoiding problems when the table structure changes (like adding or dropping a column)."
Design,,SRD0016,Done,Yes,Input parameter never used.,"This rule checks for not used stored procedure or function input parameters. Unused parameters not necessarily negatively affect the performance, but they just add bloat to your stored procedures and functions."
Design,,SRD0017,Done,Yes,DELETE statement without row limiting conditions.,The rule looks for DELETE statements not having a WHERE clause. Consider reviewing your code to avoid unintentionally losing all the rows in the table.
Design,,SRD0018,Done,Yes,UPDATE statement without row limiting conditions.,The rule looks for UPDATE statements not having a WHERE clause. Consider reviewing your code to avoid unintentionally updating all the records in the table.
Design,,SRD0019,Done,Yes,Avoid joining with views.,"The rule checks for joining with views as this may have performance implication when used without having good knowledge of the underlying tables and may lead to unnecessary joins. Although views are useful for many reasons, they hide the underlying sources and may mislead unacquainted developers and produce redundant joins."
Design,,SRD0020,Done,No,The query has issues with the join clause. It is either missing a backing foreign key or the join is missing one or more columns.,"The rule checks the T-SQL code for queries having joined tables and missing join a predicate for one of the tables. It identifies the joined table sources which do not have any column referenced neither in the join conditions nor in the WHERE clause. Without a join predicate, the query result will include the Cartesian product of all rows."
Design,,SRD0021,Done,Yes,Consider using EXISTS predicate instead of IN predicate.,"The rule check T-SQL code for IN predicate using a sub-query as they can be replaced by EXISTS predicate. Using EXISTS predicate is often considered better than IN predicate, especially when NOT IN predicate is used."
Design,,SRD0022,Skipped,Yes,"Not going to Implement, Avoid converting dates to string during date comparison.",The rule checks T-SQL script for date comparison made with using conversion to string (the CONVERT function). Consider using DATEADD and DATEDIFF functions as the to string conversion can lead to incorrect results.
Design,,SRD0024,Done,Yes,Avoid executing dynamic code using EXECUTE statement.,"Use of dynamic code with EXEC can fall prey to sql injection attacks, and also does not save the execution plan in the cache which causes a query recompile every time. "
Design,,SRD0025,Done,Yes,Avoid using column numbers in ORDER BY clause.,"The rule checks for ORDER BY clauses which reference select list column using the column number instead of the column name. The column numbers in the ORDER BY clause as it impairs the readability of the SQL statement. Further, changing the order of columns in the SELECT list has no impact on the ORDER BY when the columns are referred by names instead of numbers. "
Design,,SRD0026,Done,No,Do not use VARCHAR or NVARCHAR data types without specifying length.,Without specifying the length SQL Server will either assign a default length or determine the length for you (if casting a variable). 
Design,,SRD0027,Done,No,Do not use DECIMAL or NUMERIC data types without specifying precision and scale.,"The rule checks the T-SQL code for use DECIMAL or NUMERIC data types without specifying length. Avoid defining columns, variables and parameters using DECIMAL or NUMERIC data types without specifying precision, and scale. If no precision and scale are provided, SQL Server will use its own default values - (18, 0)."
Design,,SRD0028,Done,Yes,Consider prefixing column names with table name or table alias.,"The rule checks SELECT,UPDATE and DELETE statements which use more than one table source and reference columns which are not prefixed with table name or table alias. Consider prefixing column names with table name or alias in order to improve readability and avoid ambiguity."
Design,,SRD0030,Done,Yes,Avoid using Hints to force a particular behavior.,"The rule checks for usage of query hints, table hints or join hints in the SELECT, UPDATE, DELETE, MERGE and INSERT statements. Because the SQL Server query optimizer typically selects the best execution plan for a query, it is recommended to be use hints only as a last resort by experienced developers and database administrators."
Design,,SRD0031,Done,Yes,Avoid using CHARINDEX function.,Removed.
Design,,SRD0032,Done,Yes,Avoid OR operator in queries.,"The rule checks SELECT, UPDATE and DELETE statements for use of the OR operator in their filtering clauses.
Often, the OR operator can confuse SQL Server and prevent it from coming up with a good query plan. Check the Query Plan and look for undesirable behavior such as index scans or table spools. If a seek is performed, check to make sure that is it seeking on all of the intended columns, rather than performing a WHERE filter on columns that should otherwise be seekable. This is the pattern: (@param is null or column=@param) or slightly different: (@param=0 or column=@param)"
Design,,SRD0033,Done,Yes,Avoid using cursors.,The rule identifies CURSOR usage inside the code and notifies for cursor declarations. Review your code and consider using a set-based solution instead of the cursor/iterative solution for the given task.
Design,,SRD0034,Done,No,Do not use the NOLOCK clause,"- ""Dirty read"" – this is the one most people are aware of; you can read data that has not been committed, and could be rolled back some time after you've read it – meaning you've read data that never technically existed.
- Missing rows – because of the way an allocation scan works, other transactions could move data you haven't read yet to an earlier location in the chain that you've already read, or add a new page behind the scan, meaning you won't see it at all.
- Reading rows twice – similarly, data that you've already read could be moved to a later location in the chain, meaning you will read it twice.
- Reading multiple versions of the same row – when using READ UNCOMMITTED, you can get a version of a row that never existed; for example, where you see some columns that have been changed by concurrent users, but you don't see their changes reflected in all columns. This can even happen within a single column (see a great example from Paul White).
- Index corruption – surely you are not using NOLOCK in INSERT/UPDATE/DELETE statements, but if you are, you should be aware that this syntax is deprecated and that it can cause corruption, even in SQL Server 2014 RTM – see this tip for more information. Note that you should check for the hint in any views that you are trying to update, too."
Design,,SRD0035,Done,No,"Do not use WAITFOR DELAY/TIME statement in stored procedures, functions, and triggers.","The rule checks for WAITFOR statement with DELAY or TIME being used inside stored procedure, function or trigger. The WAITFOR statement blocks the execution of the batch, stored procedure, or transaction until a specified time or time interval is reached. This is not typically wanted in a OLTP system unless for a very specific reason."
Design,,SRD0036,Done,No,Do not use SET ROWCOUNT to restrict the number of rows.,"The rule checks for usage of the SET ROWCOUNT setting. It is recommended to use the TOP clause or the new in SQL 2012 FETCH keyword instead of SET ROWCOUNT as it will not be supported in the future versions of SQL Server for INSERT,UPDATE and DELETE statements. In addition to that is being phased out, the SET ROWCOUNT has another problem - when a ROWCOUNT is set and there is INSERT, UPDATE, DELETE or MERGE statements which fire a trigger, all the statements in the trigger will have the same row limit applied."
Design,,SRD0037,Skipped,No,Not going to implement: Ensure variable assignment from SELECT with no rows.,"A common mistake that's made is that a SELECT statement will always assign to the variables in the SELECT. This isn't the case if the SELECT statement doesn't return a row. In this case, safeguards need to be created."
Design,,SRD0038,Done,Yes,Consider aliasing all table sources in the query.,
Design,,SRD0039,Done,No,"Use fully qualified object names in SELECT, UPDATE, DELETE, MERGE and EXECUTE statements. [schema].[name]",There is a minor performance cost with not using two part names. Each time sql server runs across a one part name it has to look up the associated schema to the object.
Design,SA0126,SRD0040,Done,No,Operator combines two different types will cause implicit conversion.,Removed.
Design,,SRD0041,Done,Yes,Avoid use of the SELECT INTO syntax.,The rule checks for SELECT INTO statement being used. Consider replacing the SELECT INTO statement with explicit table creation and then use the INSERT INTO statement.
Design,,SRD0043,Done,No,The arguments of the function 'COALESCE' are not of the same datatype.,The rule checks and warns if COALESCE function arguments do not have same data type. Consider reviewing your code as unexpected results can occur if arguments with different datatypes are feed through a COALESCE.
Design,,SRD0043,Done,No,The arguments of the function 'ISNULL' are not of the same datatype.,The rule checks and warns if ISNULL function arguments do not have same data type. Consider the possible truncation which may result when the second parameter of the function is implicitly converted to the type of the first parameter.
Design,,SRD0044,Done,No,The RAISERROR statement with severity above 18 and requires WITH LOG clause.,"The rule checks RAISERROR statements for having severity above 18 and not having a WITH LOG clause. Error severity levels greater than 18 can only be specified by members of the sysadmin role, using the WITH LOG option. Severity levels from 0 through 18 can be specified by any user. Severity levels from 19 through 25 can only be specified by members of the sysadmin fixed server role or users with ALTER TRACE permissions. For severity levels from 19 through 25, the WITH LOG option is required."
Design,,SRD0045,Done,No,Excessive number of indexes on table found,Having too many indexes on a table can cause performance issues with action queries as each time an action query is run all associated indexes need to be updated as well.
Design,,SRD0046,Done,No,Do not use the real or float data types as they are approximate value data types.,"REAL and FLOAT do not store accurate values. They store ""approximate"" values."
Design,,SRD0047,Done,Yes,"Avoid using columns that match other columns by name, but are different in type or size","Columns are found in multiple tables that match by name but differ by either type or size. If the columns truly have different meanings, they should differ by name as well or they should match in datatype and size."
Design,,SRD0048,Skipped,No,Not going to implement: Deprecated string aliasing,This rule checks T-SQL script for use of column aliasing where the name of the expression uses a string value. The syntax is deprecated and it is recommended to use quoted identifiers instead.
Design,SRD0013,SRD0049,Skipped,No,Wrap multiple action statements within a try catch,"The rule checks for SELECT INTO,INSERT,DELETE and UPDATE statements which are not inside a TRY..CATCH block. This check is important, because, by default, SQL Server will not rollback all the previous changes within a transaction if a particular statement fails and setting XACT_ABORT is not ON."
Design,,SRD0050,Done,Yes,The comparison expression always evaluates to TRUE or FALSE,Checks join and where clause predicates for predicates that will always evaluate to true/false.
Design,,SRD0051,Done,No,"Don’t use deprecated TEXT,NTEXT and IMAGE data types. ","The data types ntext, text, and image will be removed in a future version of Microsoft SQL Server. Avoid using these data types in new development work, and plan to modify applications that currently use them. Use nvarchar(max), varchar(max), and varbinary(max) instead."
Design,,SRD0052,Done,No,Index has exact duplicate or overlapping index,"The rule matches exact duplicating or partially duplicating indexes. The exact duplicating indexes must have the same key columns in the same order, and the same included columns but in any order. These indexes are sure targets for elimination. The overlapping indexes share the same leading key columns, but the included columns are ignored. These types of indexes are probable dead indexes walking."
Design,,SRD0053,Done,Yes,Object has different collation than the rest of the database.,
Design,,SRD0054,Skipped,Yes,Not going to implement: Statement is not terminated with semicolon,"The rule checks for statements not terminated with semicolon. Consider terminating all statements with semicolon to improve readability and compatibility with future versions of SQL Server. As more and more keywords, and statements are added to Transact-SQL, there will appear more cases where the semicolon terminator will be required."
Design,,SRD0055,Done,No,The SQL module was created with ANSI_NULLS and/or QUOTED_IDENTIFIER options set to OFF,"The rule checks existing SQL modules which have ANSI_NULLS and/or QUOTED_IDENTIFIER settings saved with value OFF. Consider reviewing the need for these options settings, and in case they are not required, you should recreate the SQL module using a session that has both these options set to ON. Even these settings may not currently relate performance problems, they may prevent further performance optimizations, such as filtered indexes, indexes on computed columns or indexed views."
Design,,SRD0056,Done,Yes,Use OUTPUT or SCOPE_IDENTITY() instead of @@IDENTITY,"The rule checks the code for using any of the @@IDENTITY function. When the queries use parallel execution plans, the identity functions may return incorrect results."
Design,,SRD0057,Done,No,Do not mix DML with DDL statements. Group DDL statements at the beginning of procedures followed by DML statements,"The rule checks stored procedures, triggers and functions for having a DDL statements mixed between DML statements. If DDL operations are performed within a procedure or batch, the procedure or batch is recompiled when it encounters the first subsequent DML operation affecting the table involved in the DDL."
Design,,SRD0058,Done,No,Always use parameter names when calling stored procedures,"The rule checks EXECUTE statements for stored procedure not being called with named parameters, but with parameters by position."
Design,,SRD0059,Skipped,No,Only checkable in the DB: Column created with option ANSI_PADDING set to OFF,"ANSI_PADDING set to OFF can cause unintended data alterations that can leave the data in an unusable state. When padded, char columns are padded with blanks, and binary columns are padded with zeros. When trimmed, char columns have the trailing blanks trimmed, and binary columns have the trailing zeros trimmed."
Design,,SRD0060,Done,No,The procedure grants itself permissions. Possible missing GO command,"The rule checks for stored procedures, changing its own permissions. It is possible that a GO end of batch signaling command is missing and the statements in the script following the procedure are included in the procedure body."
Design,,SRD0061,Done,No,The database is configured with invalid options.,The database is configured with invalid options. Many of these options can have an adverse affect as well as affect performance.
Design,,SRD0062,Done,No,Temp table not configured with COLLATION options,Create SQL Server temporary tables with the correct collation or use database default as the tempdb having a different collation than the database can cause issues and or data instability.
Design,,SRD0063,Done,No,Avoid the use of IF statements in stored procedures.,IF statements that are wrapped around queries can change the execution plan and can cause issues with a plan being cached that is not optimal for all code branches.
Design,,SRD0064,Done,Yes,Cache multiple calls to GETDATE or SYSDATETIME into a variable,The value of GETDATE or SYSDATETIME can alter during the course of executing a series of queries providing upexpected results.
Naming,,SRN0001,Done,Yes,Avoid 'fn_' prefix when naming functions.,"This rule checks for user defined scalar functions with 'fn_'. Though this practice is supported, it is recommended that the prefixes not be used to avoid name clashes with Microsoft shipped objects."
Naming,SR0016,SRN0002,Done,Yes,Avoid 'sp_' prefix when naming stored procedures.,"This rule checks for creation of stored procedure with names starting with ""sp_"".The prefix sp_ is reserved for system stored procedure that ship with SQL Server. Whenever SQL Server encounters a procedure name starting with sp_, it first tries to locate the procedure in the master database, then it looks for any qualifiers (database, owner) provided, then it tries dbo as the owner. So you can really save time in locating the stored procedure by avoiding the ""sp_"" prefix."
Naming,SR0011,SRN0003,Done,No,Avoid using special characters in object names.,"The rule checks the current context for database objects with special characters in the name. Naming a database object by using any special character (space, tab, newline, left square bracket, right square bracket, single quotation mark and double quotation mark) will make it more difficult not only to reference that object, but also to read code that contains the name of that object."
Naming,SR0012,SRN0004,Done,No,Avoid using reserved words for type names.,The rule checks the current context for user defined types using a reserved word as type name. You should avoid using a reserved word as the name of a user-defined type because readers will have a harder time understanding your database code. You can use reserved words in SQL Server as identifiers and object names only if you use delimited identifiers.
Naming,SRN0007,SRN0005,Done,No,Avoid constraints created with system generated name.,The rule checks all the constraints in the current database for having a system generated name.
Naming,,SRN0006,Done,No,Using two part naming on objects [Schema].[Name] is recommended,Without specifying the schema in the CREATE script will cause SQL Server to try to assign the correct schema which will default to the current users default schema and may or may not be dbo.
Naming,,SRN0007,Yes,No,General naming violation.,"Multiple possible rule violations:

Name '{name}' starts with a number.
Name '{name}' contains invalid characters. Please only use alphanumerics and underscores.
Primary Key '{name}' does not follow the company naming standard. Please use the name PK_{tableName}.
Index '{name}' does not follow the company naming standard. Please use the name IX##_{tableName}.
Foreign Key '{name}' does not follow the company naming standard. Please use the format FK##_{tableName}.
Check Constraint '{name}' does not follow the company naming standard. Please use the format CK_*.
Constraint '{name}' does not follow the company naming standard. Please use the name DF_{tableName}_{columnName}."
